num_trained_data,epoch,loss,acc
53340,9,0.43386927247047424,0.8102737157855268
106680,19,0.40297627449035645,0.8787026621672291
160020,29,0.43299874663352966,0.9452568428946382
213360,39,0.3433603048324585,0.9626921634795651
266700,49,0.3434656858444214,0.9707536557930259
320040,59,0.3429744243621826,0.9735658042744657
373380,69,0.3725092113018036,0.974878140232471
426720,79,0.31349632143974304,0.9760029996250469
480060,89,0.34320470690727234,0.9745031871016123
533400,99,0.3431927263736725,0.9761904761904762
586740,109,0.3428383767604828,0.9765654293213348
640080,119,0.31381821632385254,0.9780652418447694
693420,129,0.3454534411430359,0.9760029996250469
746760,139,0.4017051160335541,0.9752530933633295
800100,149,0.31357458233833313,0.9775028121484814
