num_trained_data,epoch,loss,acc
53330,9,0.48917272686958313,0.8177386086630415
106660,19,0.3891107439994812,0.8719294955934745
159990,29,0.34746184945106506,0.9553722107631727
213320,39,0.36938807368278503,0.9662478904931558
266650,49,0.3452683091163635,0.9761860116257266
319980,59,0.346708744764328,0.9776861053815864
373310,69,0.37497758865356445,0.9761860116257266
426640,79,0.3181452453136444,0.9788111756984812
479970,89,0.31378254294395447,0.9771235702231389
533300,99,0.37393492460250854,0.9780611288205513
586630,109,0.31341755390167236,0.9784361522595162
639960,119,0.34750035405158997,0.9797487342958935
693290,129,0.3616989850997925,0.9789986874179636
746620,139,0.34422579407691956,0.9778736171010688
799950,149,0.3316803574562073,0.9791861991374461
